board,avg_2seg_orient,avg_3seg_orient,seg2_same_orient,seg2_3_same_orient,seg2_dist_to_left,seg2_dist_to_right,seg2_dist_to_upper,seg2_dist_to_bottom,seg3_dist_to_left,seg3_dist_to_right,seg3_dist_to_upper,seg3_dist_to_bottom,avg_spread_2_2,avg_spread_2_3,avg_spread_all,seg2_ships_whole_at_edge,seg3_ships_whole_at_edge,total_ships_whole_at_edge,seg2_ships_touching_edge,seg3_ships_touching_edge,total_ships_touching_edge
000003000003002003002000000020000020,-2.0,-1.0,True,True,3.0,2.0,3.0,1.0,5.0,0.0,0.0,3.0,2.8284271247461903,3.497078455444972,3.2741946785453777,0.0,1.0,1.0,1.0,0.0,1.0
000220000000033300000000000000000022,2.0,1.0,True,True,3.5,0.5,2.5,2.5,1.0,2.0,2.0,3.0,5.0990195135927845,3.2025624189766635,3.834714783848704,2.0,0.0,2.0,0.0,0.0,0.0
000220000000333000000000000022000000,2.0,1.0,True,True,3.5,0.5,2.0,3.0,0.0,3.0,2.0,3.0,4.123105625617661,3.6163454964328494,3.785265539494453,1.0,0.0,1.0,1.0,1.0,2.0
000000022000000003000003000003220000,2.0,-1.0,True,False,0.5,3.5,3.0,2.0,5.0,0.0,2.0,1.0,4.123105625617661,4.477778887523663,4.359554466888329,1.0,1.0,2.0,0.0,0.0,0.0
000000200000200000000203000203000003,-2.0,-1.0,True,True,1.5,3.5,2.0,2.0,5.0,0.0,3.0,0.0,3.605551275463989,3.8258613782791526,3.752424677340765,1.0,1.0,2.0,0.0,0.0,0.0
220000000000000333000000000000220000,2.0,1.0,True,True,0.0,4.0,2.5,2.5,3.0,0.0,2.0,3.0,5.0,4.320450551397859,4.546967034265239,2.0,0.0,2.0,0.0,1.0,1.0
000000020000020333000000220000000000,0.0,1.0,False,False,0.5,4.0,2.5,2.0,3.0,0.0,2.0,3.0,2.549509756796392,3.536255069649192,3.207339965364925,0.0,0.0,0.0,1.0,1.0,2.0
200000200000003330000000000000000022,0.0,1.0,False,False,2.0,2.5,2.5,2.0,2.0,1.0,2.0,3.0,6.363961030678928,3.3541019662496847,4.357388321059433,2.0,0.0,2.0,0.0,0.0,0.0
002000002000000000333000000000002200,0.0,1.0,False,False,2.0,2.5,2.5,2.0,0.0,3.0,3.0,2.0,4.527692569068709,2.596291201783626,3.2400916575453205,1.0,0.0,1.0,1.0,1.0,2.0
000200000202000002000300000300000300,-2.0,-1.0,True,True,4.0,1.0,0.5,3.5,3.0,2.0,3.0,0.0,2.23606797749979,3.350781059358212,2.979210032072072,1.0,0.0,1.0,1.0,1.0,2.0
000000000022000000000020000020333000,0.0,1.0,False,False,4.0,0.5,2.0,2.5,0.0,3.0,5.0,0.0,2.549509756796392,4.334587436308505,3.739561543137801,0.0,1.0,1.0,1.0,0.0,1.0
000003000003000003200000200002000002,-2.0,-1.0,True,True,2.5,2.5,3.5,0.5,5.0,0.0,0.0,3.0,5.0990195135927845,4.545084971874737,4.729729819114087,2.0,1.0,3.0,0.0,0.0,0.0
000000000000000020300020300000302200,0.0,-1.0,False,False,3.0,1.5,3.5,1.0,0.0,5.0,3.0,0.0,2.9154759474226504,3.4822921381130083,3.293353407882889,1.0,1.0,2.0,0.0,0.0,0.0
000000002000002000300000300022300000,0.0,-1.0,False,False,3.0,1.5,2.5,2.0,0.0,5.0,3.0,0.0,3.5355339059327378,3.850781059358212,3.745698674883054,0.0,1.0,1.0,1.0,0.0,1.0
000000002200000000000002000002333000,0.0,1.0,False,False,3.5,1.0,2.0,2.5,0.0,3.0,5.0,0.0,3.5355339059327378,4.272001872658765,4.026512550416756,1.0,1.0,2.0,0.0,0.0,0.0
000000000000000000022003000003220003,2.0,-1.0,True,False,0.5,3.5,4.0,1.0,5.0,0.0,3.0,0.0,2.23606797749979,4.124913586643351,3.495298383595497,1.0,1.0,2.0,0.0,0.0,0.0
000020000020000000300000300022300000,0.0,-1.0,False,False,4.0,0.5,2.0,2.5,0.0,5.0,3.0,0.0,3.5355339059327378,4.907536453183663,4.450202270766687,0.0,1.0,1.0,2.0,0.0,2.0
003000003000003000000000220002000002,0.0,-1.0,False,False,2.5,2.0,4.0,0.5,2.0,3.0,0.0,3.0,4.527692569068709,3.981937097448064,4.163855587988279,1.0,0.0,1.0,1.0,1.0,2.0
000000003002003002003000000000000220,0.0,-1.0,False,False,4.0,0.5,3.0,1.5,2.0,3.0,1.0,2.0,3.8078865529319534,3.197741615699397,3.401123261443583,2.0,0.0,2.0,0.0,0.0,0.0
000333000000000220000000000000000022,2.0,1.0,True,True,3.5,0.5,3.5,1.5,3.0,0.0,0.0,5.0,3.1622776601683795,3.543245311684638,3.416256094512552,1.0,1.0,2.0,0.0,0.0,0.0
220000000333000000000000000220000000,2.0,1.0,True,True,1.5,2.5,2.0,3.0,3.0,0.0,1.0,4.0,5.0,3.3407181048946843,3.893812069929789,1.0,0.0,1.0,0.0,1.0,1.0
200200200200000000300000300000300000,-2.0,-1.0,True,True,1.5,3.5,0.0,4.0,0.0,5.0,3.0,0.0,3.0,4.054886114323222,3.703257409548815,1.0,1.0,2.0,1.0,0.0,1.0
000000220333000000000000000000220000,2.0,1.0,True,True,0.0,4.0,3.0,2.0,3.0,0.0,1.0,4.0,4.0,4.407536453183663,4.271690968789108,1.0,0.0,1.0,1.0,1.0,2.0
200000200003000003000003022000000000,0.0,-1.0,False,False,0.5,4.0,2.0,2.5,5.0,0.0,1.0,2.0,3.8078865529319534,4.625641064302275,4.353056227178835,1.0,1.0,2.0,0.0,0.0,0.0
000000200000200000000002033302000000,-2.0,1.0,True,False,2.5,2.5,2.0,2.0,1.0,2.0,4.0,1.0,5.385164807134504,3.1214716919327667,3.87603606366668,2.0,0.0,2.0,0.0,0.0,0.0
000000000003200003200003000200000200,-2.0,-1.0,True,True,1.5,3.5,3.0,1.0,5.0,0.0,1.0,2.0,3.605551275463989,4.113249964638435,3.944017068246953,1.0,1.0,2.0,1.0,0.0,1.0
002000002000000000220000000000003330,0.0,1.0,False,False,1.0,3.5,1.5,3.0,2.0,1.0,5.0,0.0,2.9154759474226504,3.905667173681434,3.575603431595173,0.0,1.0,1.0,2.0,0.0,2.0
000000022000000000333000000000022000,2.0,1.0,True,True,1.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,4.0,2.0615528128088303,2.707701875205887,1.0,0.0,1.0,0.0,1.0,1.0
000000200000200000000003002203000003,0.0,-1.0,False,False,1.0,3.5,2.5,2.0,5.0,0.0,3.0,0.0,3.5355339059327378,4.045084971874737,3.8752346165607374,1.0,1.0,2.0,0.0,0.0,0.0
000000003330200000200000002200000000,0.0,1.0,False,False,1.0,3.5,3.0,1.5,2.0,1.0,1.0,4.0,2.9154759474226504,3.197741615699397,3.1036530596071485,1.0,0.0,1.0,0.0,0.0,0.0
000003022003000003000000000000000220,2.0,-1.0,True,False,2.0,2.0,3.0,2.0,5.0,0.0,0.0,3.0,4.47213595499958,3.886000936329383,4.081379275886115,1.0,1.0,2.0,0.0,0.0,0.0
033300000000022020000020000000000000,0.0,1.0,False,False,2.5,2.0,2.0,2.5,1.0,2.0,0.0,5.0,2.549509756796392,2.6315574657626275,2.604208229440549,0.0,1.0,1.0,0.0,0.0,0.0
000022220000000003000003000003000000,2.0,-1.0,True,False,2.0,2.0,0.5,4.5,5.0,0.0,2.0,1.0,4.123105625617661,3.9829050830235806,4.029638597221607,1.0,1.0,2.0,1.0,0.0,1.0
000300000300000300000000200200200200,-2.0,-1.0,True,True,1.5,3.5,4.0,0.0,3.0,2.0,0.0,3.0,3.0,4.054886114323222,3.703257409548815,1.0,0.0,1.0,1.0,1.0,2.0
202200200000000333000000000000000000,0.0,1.0,False,False,1.0,3.5,0.0,4.5,3.0,0.0,2.0,3.0,2.549509756796392,3.3860009363293826,3.107170543151719,2.0,0.0,2.0,0.0,1.0,1.0
000220000000000000002200000000003330,2.0,1.0,True,True,2.5,1.5,1.5,3.5,2.0,1.0,5.0,0.0,3.1622776601683795,3.543245311684638,3.416256094512552,1.0,1.0,2.0,0.0,0.0,0.0
220000000020000020000000333000000000,0.0,1.0,False,False,2.0,2.5,0.5,4.0,0.0,3.0,4.0,1.0,3.8078865529319534,3.9681268560513008,3.914713421678185,1.0,0.0,1.0,0.0,1.0,1.0
000333200000200000000000020000020000,-2.0,1.0,True,False,0.5,4.5,2.5,1.5,3.0,0.0,0.0,5.0,3.1622776601683795,4.840164392927375,4.280868815341044,1.0,1.0,2.0,1.0,0.0,1.0
300000300000300000000000202000202000,-2.0,-1.0,True,True,1.0,4.0,4.0,0.0,0.0,5.0,0.0,3.0,2.0,3.765564437074637,3.1770429580497583,1.0,1.0,2.0,1.0,0.0,1.0
022022000000000000003330000000000000,2.0,1.0,True,True,2.5,1.5,0.0,5.0,2.0,1.0,3.0,2.0,3.0,3.3541019662496847,3.23606797749979,2.0,0.0,2.0,0.0,0.0,0.0
000000000200000202000002033300000000,-2.0,1.0,True,False,4.0,1.0,1.5,2.5,1.0,2.0,4.0,1.0,2.23606797749979,3.0233421849084685,2.7609174491055755,1.0,0.0,1.0,0.0,0.0,0.0
002000002000000000300000302000302000,-2.0,-1.0,True,True,2.0,3.0,2.0,2.0,0.0,5.0,3.0,0.0,4.0,3.0463408434790527,3.364227228986035,0.0,1.0,1.0,2.0,0.0,2.0
000022000000000000000000000020333020,0.0,1.0,False,False,4.0,0.5,2.0,2.5,0.0,3.0,5.0,0.0,4.527692569068709,4.57232953650798,4.557450547361556,1.0,1.0,2.0,1.0,0.0,1.0
033300000000020000020000000002000002,-2.0,1.0,True,False,3.0,2.0,3.0,1.0,1.0,2.0,0.0,5.0,4.47213595499958,4.050454658381618,4.191015090587605,1.0,1.0,2.0,0.0,0.0,0.0
220000000000000000300000300020300020,0.0,-1.0,False,False,2.0,2.5,2.0,2.5,0.0,5.0,3.0,0.0,5.70087712549569,4.031128874149275,4.58771162459808,1.0,1.0,2.0,1.0,0.0,1.0
033300000002000002000000000022000000,0.0,1.0,False,False,4.5,0.0,2.5,2.0,1.0,2.0,0.0,5.0,2.549509756796392,4.035546266138994,3.5402007630247936,1.0,1.0,2.0,1.0,0.0,1.0
000000000220000000003000003000003022,2.0,-1.0,True,False,3.5,0.5,3.0,2.0,2.0,3.0,3.0,0.0,4.123105625617661,3.0233421849084685,3.3899299984782,1.0,0.0,1.0,0.0,1.0,1.0
000000000000300220300000300020000020,0.0,-1.0,False,False,3.5,1.0,3.0,1.5,0.0,5.0,2.0,1.0,2.549509756796392,3.956028408649512,3.487188858031806,0.0,1.0,1.0,1.0,0.0,1.0
022000000000020300020300000300000000,0.0,-1.0,False,False,1.0,3.5,1.0,3.5,3.0,2.0,2.0,1.0,2.549509756796392,2.7078273895292577,2.6550548452849694,1.0,0.0,1.0,0.0,0.0,0.0
000000000000030000030220030000000220,2.0,-1.0,True,False,3.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,2.850781059358212,2.5671873729054746,1.0,0.0,1.0,0.0,0.0,0.0
000000300000300000300002000002220000,0.0,-1.0,False,False,2.5,2.0,4.0,0.5,0.0,5.0,1.0,2.0,4.743416490252569,4.130767259802193,4.334983669952318,2.0,1.0,3.0,0.0,0.0,0.0
022000000000000000022030000030000030,2.0,-1.0,True,False,1.0,3.0,1.5,3.5,4.0,1.0,3.0,0.0,3.0,3.704786484797777,3.469857656531851,1.0,0.0,1.0,0.0,1.0,1.0
000000033300000000002200000000000220,2.0,1.0,True,True,2.5,1.5,4.0,1.0,1.0,2.0,1.0,4.0,2.23606797749979,3.166777342733797,2.856540887655795,1.0,0.0,1.0,0.0,0.0,0.0
000000300000300022300000000022000000,2.0,-1.0,True,False,4.0,0.0,3.0,2.0,0.0,5.0,1.0,2.0,2.0,4.712214450449026,3.808142966966017,0.0,1.0,1.0,2.0,0.0,2.0
033300000000000000000000022022000000,2.0,1.0,True,True,2.5,1.5,4.0,1.0,1.0,2.0,0.0,5.0,3.0,4.374059720088788,3.916039813392525,0.0,1.0,1.0,1.0,0.0,1.0
022000000000203330200000000000000000,0.0,1.0,False,False,0.5,4.0,1.0,3.5,2.0,1.0,2.0,3.0,2.9154759474226504,2.7706906325745546,2.8189524041905862,2.0,0.0,2.0,0.0,0.0,0.0
