board_state_100chars_code,conf_level,margin_est,margin_highest,rel_error,time_mc
0000000000000000000000000000000000007000700007000007007077770007007333007000777777777777775555577333,3.29,1.0,0.06,0.0,16.36
0000000000000000000000000000000000007000700007000007007077770007007333007000777777777777775555577333,3.29,1.0,0.06,0.01109,16.22
0000000000000000000000000000000000007000700007000007007077770007007333007000777777777777775555577333,3.29,1.0,0.06,0.01109,16.39
0000000000000000000000000000000000007000700007000007007077770007007333007000777777777777775555577333,3.29,1.0,0.06,0.01109,16.21
0000000000000000000000000000000000007000700007000007007077770007007333007000777777777777775555577333,3.29,1.0,0.06,0.0,15.9
0000000000000000000000000000000000007000700007000007007077770007007333007000777777777777775555577333,3.29,1.0,0.06,0.0,15.78
0000000000000000000000000000000000007000700007000007007077770007007333007000777777777777775555577333,3.29,1.0,0.06,0.0,15.6
0000000000000000000000000000000000007000700007000007007077770007007333007000777777777777775555577333,3.29,1.0,0.06,0.0,15.84
0000000000000000000000000000000000007000700007000007007077770007007333007000777777777777775555577333,3.29,1.0,0.06,0.0,16.22
0000000000000000000000000000000000007000700007000007007077770007007333007000777777777777775555577333,3.29,1.0,0.06,0.0,16.86
0000000000000000000000000007000000000077700000007277700000727377777777737755555773777777777770007000,3.29,1.0,0.06,0.0,20.53
0000000000000000000000000007000000000077700000007277700000727377777777737755555773777777777770007000,3.29,1.0,0.06,0.0,20.42
0000000000000000000000000007000000000077700000007277700000727377777777737755555773777777777770007000,3.29,1.0,0.06,0.0,19.36
0000000000000000000000000007000000000077700000007277700000727377777777737755555773777777777770007000,3.29,1.0,0.06,0.0,19.53
0000000000000000000000000007000000000077700000007277700000727377777777737755555773777777777770007000,3.29,1.0,0.06,0.0,19.76
0000000000000000000000000007000000000077700000007277700000727377777777737755555773777777777770007000,3.29,1.0,0.06,0.0,20.11
0000000000000000000000000007000000000077700000007277700000727377777777737755555773777777777770007000,3.29,1.0,0.06,0.0,19.96
0000000000000000000000000007000000000077700000007277700000727377777777737755555773777777777770007000,3.29,1.0,0.06,0.0,20.18
0000000000000000000000000007000000000077700000007277700000727377777777737755555773777777777770007000,3.29,1.0,0.06,0.0,20.0
0000000000000000000000000007000000000077700000007277700000727377777777737755555773777777777770007000,3.29,1.0,0.06,0.0,19.95
0000000000000000000077700000007470000000747000000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.00374,17.89
0000000000000000000077700000007470000000747000000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,18.34
0000000000000000000077700000007470000000747000000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.00374,18.14
0000000000000000000077700000007470000000747000000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,18.34
0000000000000000000077700000007470000000747000000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,18.47
0000000000000000000077700000007470000000747000000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,18.2
0000000000000000000077700000007470000000747000000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,18.43
0000000000000000000077700000007470000000747000000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,18.01
0000000000000000000077700000007470000000747000000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.00374,18.49
0000000000000000000077700000007470000000747000000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,18.15
0000000000000000000077700000007470000000747700000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,16.34
0000000000000000000077700000007470000000747700000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,16.36
0000000000000000000077700000007470000000747700000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,16.73
0000000000000000000077700000007470000000747700000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,16.37
0000000000000000000077700000007470000000747700000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,16.35
0000000000000000000077700000007470000000747700000074700000007470700000777700070072277777777777555557,3.29,1.0,0.06,0.0,16.44
