board_state_100chars_code,best_field,best_prob,time_adv,time_mc
0000070073000000707300000007730000000077770000000757000007005700007770577777727757444472705777777770,"[4, 6]",0.2051488144488309,3.88,1.6266666666666667
0000070073000000707300000007730000000077770000700757000007005700007770577777727757444472705777777770,"[3, 5]",0.2186301043928263,3.07,1.5566666666666666
0000070073000000707300000007730000070077770000700757000007005700007770577777727757444472705777777770,"[2, 4]",0.2262104141291108,2.36,1.4833333333333334
0000070073000000707300007007730000070077770000700757000007005700007770577777727757444472705777777770,"[5, 4]",0.233361208126322,1.99,1.3666666666666665
0000070073000000707300007007730000070077770000700757007007005700007770577777727757444472705777777770,"[6, 3]",0.2527430221366699,1.5,1.2166666666666666
0000070073000000707300007007730000070077770000700757007007005707007770577777727757444472705777777770,"[3, 2]",0.2476386742229091,1.18,1.2766666666666666
0070000000770000000057000000005700000000577770077757747007225774700777777477700700747270700077727700,"[1, 3]",0.2592248781619865,1.2,1.4433333333333334
7770700000727007000072707000007777001000333707000777777000004444700000777770000077777700005555570000,"[3, 5]",0.3356584821428571,2.09,1.4766666666666666
7770700000727007000072707000007777071000333707000777777000004444700000777770000077777700005555570000,"[2, 6]",0.4363712725745485,1.76,1.1866666666666663
7770700000727007000072707070007777071000333707000777777000004444700000777770000077777700005555570000,"[3, 7]",0.5144063586686537,1.53,1.3166666666666669
0777074444072707777777277000770777017075700700007507007000750070000075700700007507000000770070000700,"[4, 5]",0.7301109917651271,5.58,0.87
0777074444072707777777277000770777017075700701007507007000750070000075700700007507000000770070000700,"[2, 5]",0.6106255749770009,4.21,1.5033333333333332
0073770000007370000000737000007777777000755555700777777770007470000000747777000074722700007477777000,"[6, 7]",0.1962568533455808,3.28,1.5633333333333337
0073770000007370000000737000007777777000755555700777777770007470000700747777000074722700007477777000,"[5, 8]",0.21625,2.52,1.3766666666666667
0073770000007370000000737000007777777000755555700777777770707470000700747777000074722700007477777000,"[7, 9]",0.2211437685121895,2.12,1.3166666666666669
0073770000007370000000737000007777777000755555700777777770707470000700747777000174722700007477777000,"[6, 9]",0.4615701627859056,1.1,0.7733333333333334
7070070070070710070000700070077700000070470000070047000000074700007777477000733377077777770077555557,"[0, 4]",0.3996673515311613,20.79,2.8233333333333337
7070770070070710070000700070077700000070470000070047000000074700007777477000733377077777770077555557,"[1, 5]",0.6167427205562799,16.14,1.61
0000077770000007227000070777770070700073700077707301707577730707757077700075770000007570000000757000,"[4, 1]",0.7476062811183455,3.8,0.8566666666666666
0074444700707777777777777555553337777777777700777700007073330000007777000000000000000000000000000000,"[8, 8]",0.17177623941179,4.16,1.7266666666666666
0074444700707777777777777555553337777777777700777700007073330000007777000000000000000000700000000000,"[0, 1]",0.156577717786315,4.25,1.82
0174444700707777777777777555553337777777777700777700007073330000007777000000000000000000700000000000,"[0, 0]",0.5,3.05,1.0366666666666668
0707555557777777777773337777777777744447700077777700000000000000000000000007000000007001000007007000,"[8, 6]",0.3304404209686268,52.84,2.9966666666666666
0707555557777777777773337777777777744447700077777700000000000000000000000007777000007722700007077770,"[6, 9]",0.2607351017009635,1.82,1.2566666666666666
0000744447000077777700000070000000000777777000072773700007277370000777737000700077777777770007555557,"[2, 3]",0.2011426465167711,2.69,1.59
0000744447000077777700070070000000000777777000072773700007277370000777737000700077777777770007555557,"[3, 4]",0.2145065288607945,2.23,1.4566666666666668
0000744447000077777700070070000000700777777000072773700007277370000777737000700077777777770007555557,"[4, 5]",0.2344337406015037,1.74,1.2833333333333334
0000744447000077777700070070000000700777777007072773700007277370000777737000700077777777770007555557,"[1, 2]",0.2280365226732141,1.39,1.2466666666666666
0000744447007077777700070070000000700777777007072773700007277370000777737000700077777777770007555557,"[0, 1]",0.2637908756584832,1.23,1.0333333333333334
0007444470000777777000000070070000700070707007000777777777007555557070777777770770070070700070070700,"[4, 7]",0.5148879223820676,28.61,4.283333333333333
0007444470000777777000000070070000700070707007010777777777007555557070777777770770070070700070070700,"[2, 7]",0.5198180636777128,19.84,4.663333333333334
0007444470000777777000000077070000700070707007010777777777007555557070777777770770070070700070070700,"[4, 6]",0.7067763089413969,11.19,3.103333333333333
0070072270070007777070100000770700000075700000007500000000757777000075333700007577777770770744447700,"[3, 2]",0.3348849945235487,1.84,1.7166666666666666
0070072270070007777070100000770770000075700000007500000000757777000075333700007577777770770744447700,"[2, 3]",0.5022643062988884,1.64,1.1466666666666667
0070072270070007777070170000770770000075700000007500000000757777000075333700007577777770770744447700,"[2, 1]",0.5074441687344913,1.4,1.8166666666666669
5700744447577077777757070000005777000000573777000077372700000737270000077777000070007070000070070700,"[3, 6]",0.2173469883026743,2.02,1.5
0000700070007000070077000777073700074700370777470037075747707707574707007757770000075700000707570000,"[8, 0]",0.3131986160228695,43.39,1.0933333333333335
0000700070007000070077000777073700074700370777470037075747707707574707007757770010075700000707570000,"[7, 0]",0.405305410122164,31.43,1.4333333333333331
0000700070007000070077000777073700074700370777470037075747707707574707277757770027075700007707570000,"[8, 8]",0.2805090104331331,1.26,0.9266666666666667
0000733370000777777700073777220077375777700737570707077757007000075700000007570000000777000000070000,"[6, 8]",0.2496742394198629,2.69,1.2066666666666668
0000733370000777777700073777220077375777700737570707077757007000075710000007570000000777000000070000,"[7, 8]",0.7172679827547084,1.83,0.3333333333333333
0000733370000777777700073777220077375777700737570707077757007000075710000007577000000777000000070000,"[5, 8]",0.5,1.28,1.7966666666666669
0722770000077770000000000000000000000000700000000707000077777777770727744447072777777777770700755555,"[2, 0]",0.2689968182668912,2.2,1.3633333333333333
0722770000077770000070000000000000000000700000000707000077777777770727744447072777777777770700755555,"[3, 2]",0.2737630416693337,1.73,1.4433333333333334
0722770000077770000070000000000070000000700000000707000077777777770727744447072777777777770700755555,"[4, 3]",0.313590692755156,1.4,1.2166666666666666
7770070000757070000075777770007573337000757777700775777000007772700000277277000027777000077707007000,"[1, 7]",0.3810211946050096,1.54,1.1233333333333333
7770070000757070070075777770007573337000757777700775777000007772700000277277000027777000077707007000,"[0, 8]",0.4186770428015564,1.22,1.03
0074444700007777770000000700007770007777757000733375777777777573337000757777700075707000007770070000,"[3, 4]",0.2212945683135252,2.03,1.12
2277744447777077777773770007007370777777737075555577707777770000000000000000000000000000000000000000,"[6, 3]",0.2096267573597903,3.92,1.5666666666666669
2277744447777077777773770007007370777777737075555577707777770007000000000000000000000000000000000000,"[7, 1]",0.1877158362111494,3.12,1.7566666666666666
2277744447777077777773770007007370777777737075555577707777770007000000070000000000000000000000000000,"[8, 0]",0.2124371562573809,2.53,1.55
2277744447777077777773770007007370777777737075555577707777770007000000070000000070000000000000000000,"[9, 2]",0.2214129643117261,2.02,1.5033333333333332
2277744447777077777773770007007370777777737075555577707777770007000000070000000070000000000010000000,"[9, 1]",0.4709752321981424,1.2,0.88
0000070000000000000000000000000700007000700070070700777770770773337073777777707355555777737777772277,"[1, 3]",0.2397559337214509,2.51,1.5266666666666666
0000070000000700000000000000000700007000700070070700777770770773337073777777707355555777737777772277,"[2, 2]",0.2904793461453501,1.94,1.1333333333333335
0000070000000700000000700000000700007000700070070700777770770773337073777777707355555777737777772277,"[0, 2]",0.2762557077625571,1.47,1.17
0070070000000700000000700000000700007000700070070700777770770773337073777777707355555777737777772277,"[2, 8]",0.2824777745913392,1.19,1.1933333333333334
3337777007777773707000007377000000737077700077777500000727750000072775000007777500000070750000700077,"[5, 3]",0.2918271587646194,2.25,1.2366666666666666
3337777007777773707000007377000000737077700077777500070727750000072775000007777500000070750000700077,"[6, 1]",0.2767009493670886,1.7,1.3633333333333333
3337777007777773707000007377000000737077700077777500070727750700072775000007777500000070750000700077,"[8, 0]",0.3068088597210828,1.39,1.0566666666666669
0000075777000007577200000757720000075777700007570700700777000700700070777777000073337000077777707000,"[0, 2]",0.3285771202063652,18.55,2.8366666666666664
0070075777000007577200000757720000075777700007570700700777000700700070777777000073337000077777707000,"[3, 1]",0.3586981665308913,13.25,2.813333333333334
0070075777000007577200000757720700075777700007570700700777000700700070777777000073337000077777707000,"[1, 0]",0.4180258453045605,8.65,2.103333333333333
0070075777700007577200000757720700075777700007570700700777000700700070777777000073337000077777707000,"[4, 3]",0.403729553477593,5.61,2.583333333333333
0070075777700007577200000757720700075777700107570700700777000700700070777777000073337000077777707000,"[2, 3]",0.4284474702976905,3.08,2.14
0070075777700007577200070757720700075777700107570700700777000700700070777777000073337000077777707000,"[4, 2]",0.4666588812332126,1.81,1.4333333333333331
0070075777700007577200070757720700075777707107570700700777000700700070777777000073337000077777707000,"[5, 3]",0.8659951828333698,1.17,0.2433333333333333
0070075777700007577200070757720700075777707107570700710777000700700070777777000073337000077777707000,"[6, 3]",0.8564738292011019,1.11,0.2833333333333334
0000070000000000000000000000000000000000777777000755555700707777777707444477277077777727073337077770,"[3, 6]",0.1927809890815671,3.93,1.75
0000070000000000000000000000000000007000777777000755555700707777777707444477277077777727073337077770,"[4, 7]",0.2324241749148658,3.18,1.36
0000070000000000000000000000000000007000777777070755555700707777777707444477277077777727073337077770,"[3, 8]",0.2268015590015756,2.46,1.45
0000070000000000000000000000000000007070777777070755555700707777777707444477277077777727073337077770,"[2, 7]",0.248069498069498,2.03,1.3099999999999998
0000070000000000000000000001000000007070777777070755555700707777777707444477277077777727073337077770,"[1, 7]",0.3383052313013402,1.03,1.37
0000070000000000000000000000007700777007470075707047007577074700757070470075777777017573330070777777,"[7, 3]",0.4621765975983938,52.0,2.0933333333333333
0000070000000000000000000000007700777007470075707047007577074700757070470775777777017573330070777777,"[9, 3]",0.5187585105883458,41.56,2.68
0000070000000000000000000000007700777007470075707047007577074700757070477775777777727573330072777777,"[2, 7]",0.2414916727009413,2.2,1.2933333333333332
0000070000000000000000000007007700777007470075707047007577074700757070477775777777727573330072777777,"[1, 8]",0.2609785202863962,1.75,1.163333333333333
0000070000000000007000000007007700777007470075707047007577074700757070477775777777727573330072777777,"[1, 6]",0.2509284676247376,1.33,1.21
